31.12		Pacific Northwest 13&Over Championships (50m)	Jul 18, 2026
31.71		Pacific Northwest 13&Over Championships (50m)	Jul 17, 2026
31.53		Pacific Northwest 13&Over Championships (50m)	Jul 17, 2026
34.34	X	2026 PN SMAC Summer Classic In	Jun 30, 2026
32.56		2026 PN SMAC Summer Classic In	Jun 30, 2026
31.21		NE CS Season Opener	Apr 11, 2026
32.36	X	Pacific Northwest Senior Championships (50m)	Jul 20, 2025
33.97	X	NE CS Summer Fiesta	Jun 1, 2025
35.00	X	NE CS Spring Fling	May 11, 2025
33.23	X	Eastern Zone Super Sectional	May 16, 2024
34.74	X	2023 PN SSCD Dick LaFave Class	Apr 30, 2023
33.98		2023 PN SSCD Dick LaFave Class	Apr 29, 2023
36.52		PN SMAC Summer Classic	Jun 25, 2022
1:10.39		Pacific Northwest 13&Over Championships (50m)	Jul 18, 2026
1:13.61		2026 PN SMAC Summer Classic In	Jun 30, 2026
1:15.15		NE CS Spring Fever	May 16, 2026
1:10.44		Pacific Northwest Senior Championships (50m)	Jul 20, 2025
1:11.26		Pacific Northwest Senior Championships (50m)	Jul 18, 2025
1:10.77		PN SMAC Summer Classic Invitational	Jun 29, 2025
1:13.16		NE CS Summer Fiesta	Jun 1, 2025
1:15.96		NE CS Spring Fling	May 11, 2025
1:11.08		Eastern Zone Super Sectional	May 16, 2024
1:13.20		PN Senior Championships	Jul 20, 2023
1:20.72		PN CSC Seattle Senior Open	Jul 7, 2023
1:17.29		IE VS Apple Capital	Jun 4, 2023
1:14.32		2023 PN SSCD Dick LaFave Class	Apr 30, 2023
1:18.99		PN 14&U LC Championship	Jul 30, 2022
1:21.33		PN SMAC Senior Seattle Open	Jul 8, 2022
1:17.81		PN SMAC Summer Classic	Jun 26, 2022
1:20.34		PN SMAC IST Sockeye Springtime Madness	May 22, 2022
