27.62	X	NHIAA Division 1 Championship	Feb 14, 2026
28.62		Holiday Invitational	Jan 4, 2026
27.66		NE NSSC Senior Championship	Dec 20, 2025
27.08		NE NSSC Senior Championship	Dec 20, 2025
27.65	X	NE NSSC Senior Championship	Dec 19, 2025
27.57	X	NE NSSC Senior Championship	Dec 19, 2025
28.33	X	ORHS Duals	Dec 6, 2025
28.81		NE NSSC Beede Halloween Classi	Oct 19, 2025
28.97	X	NE NSSC Beede Halloween Classi	Oct 18, 2025
29.05		NE CS Kickoff Classic	Oct 4, 2025
29.03	X	NHIAA Division 1 Championship	Feb 15, 2025
29.38	X	Holiday Invitational	Jan 5, 2025
28.75	X	NE CS SCY New England Senior Meet	Dec 20, 2024
30.89	X	NE CS Fall Classic	Nov 3, 2024
28.46	X	EHS VS DHS	Dec 21, 2023
28.16	X	New England Swimming Senior Championships	Dec 15, 2023
28.04	U	Greater Seattle Summer Swim League All City Championship	Aug 1, 2023
30.01	X	2023 PN Spring Showdown	Mar 25, 2023
30.48	X	2023 Boys Sea-King Championsh	Feb 10, 2023
30.50		Pacific Northwest 15&O Winter SC Championships	Dec 18, 2022
30.07	X	Pacific Northwest 15&O Winter SC Championships	Dec 16, 2022
30.78		2022 PN Fall Divisionals	Dec 3, 2022
30.07		2022 PN Fall Divisionals	Dec 3, 2022
30.67		2022 PN November AGI, Division	Nov 20, 2022
30.58	X	2022 PN November AGI, Division	Nov 19, 2022
31.57	X	OR THSC Fall Invitational	Oct 23, 2022
30.91	X	2022 PN Washington Age Group Championship	Mar 18, 2022
31.91		Pacific Northwest 13-14 Winter SC Championship	Dec 12, 2021
31.59		Pacific Northwest 13-14 Winter SC Championship	Dec 12, 2021
31.81	X	Pacific Northwest 13-14 Winter SC Championship	Dec 10, 2021
33.40	X	PN SMAC Intrasquad	Nov 13, 2021
33.86	X	PN SMAC Intrasquad	Nov 13, 2021
34.25	X	2021 PN KING October Challenge 2	Oct 23, 2021
33.50	X	2021 PN SMAC Intrasquad	Oct 16, 2021
33.03	X	2021 PN Summer Short Course Championships	Aug 1, 2021
33.32	X	2021 PN SMAC Summer Classic	Jul 11, 2021
33.50	X	2021 PN SMAC Summer Classic	Jul 11, 2021
36.33	X	PN SMAC May Intrasquad	May 22, 2021
59.61		Four Corners Speedo Sectional Championships	Mar 28, 2026
59.59		Four Corners Speedo Sectional Championships	Mar 28, 2026
59.37		NHIAA Division 1 Championship	Feb 14, 2026
1:01.15		ORHS Duals	Jan 10, 2026
1:02.35		NHIAA Exeter Double Dual	Dec 22, 2025
59.58		NE NSSC Senior Championship	Dec 19, 2025
58.99		NE NSSC Senior Championship	Dec 19, 2025
1:00.78	D1	ORHS Duals	Dec 6, 2025
1:03.98		NE CS Fall Classic	Nov 9, 2025
1:01.90		NE NSSC Beede Halloween Classi	Oct 18, 2025
1:01.80		Speedo Sectionals - Ithaca	Mar 28, 2025
1:01.66		New England 15-18 AG Championship (25y)	Feb 28, 2025
1:02.03		NHIAA Division 1 Championship	Feb 15, 2025
1:03.57		Garrison City Invitational	Jan 25, 2025
1:03.00	D1	Holiday Invitational	Jan 5, 2025
1:04.81		NE CRIM Jan Team Specialty	Jan 4, 2025
1:01.88		NE CS SCY New England Senior Meet	Dec 20, 2024
1:05.57		Bishop Guertin vs. Exeter vs. Concord vs. Alvirne	Dec 7, 2024
1:05.79		NE CS Fall Classic	Nov 3, 2024
1:01.56		Speedo Sectionals - Providence	Mar 22, 2024
1:01.46		NE CRIM 15-19 AG CHAMPIONSHIPS	Mar 8, 2024
1:00.93		NE CRIM 15-19 AG CHAMPIONSHIPS	Mar 8, 2024
1:02.38		NHIAA Division 1 Championship	Feb 10, 2024
1:05.79		ORHS DUAL (EXE, POR)	Jan 21, 2024
1:01.11	D1	EHS VS DHS	Dec 21, 2023
1:01.97		New England Swimming Senior Championships	Dec 15, 2023
1:00.71		New England Swimming Senior Championships	Dec 15, 2023
1:04.22		BG, MER, EXT & PEL	Dec 2, 2023
1:06.32		Western Zone Senior Championship	Apr 1, 2023
1:03.78		2023 PN Spring Showdown	Mar 25, 2023
1:03.75		2023 PN Spring Showdown	Mar 25, 2023
1:05.25		2023 PN BBST Feb AGI Division	Feb 26, 2023
1:03.25		2023 PN BBST Feb AGI Division	Feb 26, 2023
1:05.47		2023 Boys Sea-King Championsh	Feb 10, 2023
1:04.50		2023 PN VAST Washington Open	Jan 14, 2023
1:03.91		Pacific Northwest 15&O Winter SC Championships	Dec 16, 2022
1:06.53		2022 PN Fall Divisionals	Dec 4, 2022
1:06.33		2022 PN Fall Divisionals	Dec 4, 2022
1:05.08		2022 PN November AGI, Division	Nov 19, 2022
1:06.97		OR THSC Fall Invitational	Oct 23, 2022
1:06.13		2022 PN Washington Age Group Championship	Mar 18, 2022
1:08.44		PN BC March Invitational	Mar 5, 2022
1:10.37		PN BC February Invitational	Feb 19, 2022
1:08.67		Pacific Northwest 13-14 Winter SC Championship	Dec 10, 2021
1:11.02		PN SMAC Intrasquad	Nov 13, 2021
1:11.87		PN SMAC Intrasquad	Nov 13, 2021
1:12.04		2021 PN KING October Challenge 2	Oct 23, 2021
1:11.32		2021 PN SMAC Intrasquad	Oct 16, 2021
1:10.59		2021 PN Summer Short Course Championships	Aug 1, 2021
1:11.72		2021 PN Summer Short Course Championships	Aug 1, 2021
1:10.71		2021 PN SMAC Summer Classic	Jul 11, 2021
1:11.44		2021 PN SMAC Summer Classic	Jul 11, 2021
1:15.01		PN SMAC May Intrasquad	May 22, 2021
